Loaded 1127 signals
Loaded price data for 570/570 tickers

====================================================================================================
TRADE LIST: $1B+ Market Cap | 3M Hold | Stop Loss: -60%
====================================================================================================
Total trades: 350
Winners: 207 | Losers: 143 | Win Rate: 59.1%
Final Value: $235,366 | Total Return: +135.4% | CAGR: +39.2%
Max Drawdown: 26.5%

Exit Breakdown:
  time: 318 (90.9%)
  end_of_sim: 32 (9.1%)

Top 10 Winners:
  BE: +$12,257 (+201.1%) | 2025-07-30 -> 2025-10-28
  SNDK: +$11,976 (+165.1%) | 2025-10-08 -> 2026-01-06
  SATS: +$10,978 (+199.0%) | 2025-06-25 -> 2025-09-23
  MP: +$7,847 (+162.5%) | 2025-04-23 -> 2025-07-22
  APP: +$7,730 (+174.4%) | 2024-09-18 -> 2024-12-17
  PL: +$5,984 (+70.0%) | 2025-12-17 -> 2026-01-21
  PLTR: +$4,675 (+104.5%) | 2024-09-18 -> 2024-12-17
  WBD: +$4,659 (+60.6%) | 2025-09-17 -> 2025-12-16
  SMMT: +$4,114 (+102.1%) | 2024-07-31 -> 2024-10-29
  W: +$3,804 (+62.3%) | 2025-07-30 -> 2025-10-28

All Trades (CSV):
Entry Date,Exit Date,Ticker,Score,Entry Price,Exit Price,Shares,Cost,Proceeds,P&L,P&L %,Days Held,Exit Reason
2024-10-23,2025-01-21,SNA,6,325.24,354.18,14,4553,4959,405,+8.9%,90,time
2024-10-23,2025-01-21,HMY,6,11.51,10.20,231,2659,2356,-303,-11.4%,90,time
2024-10-23,2025-01-21,OKLO,6,18.30,31.25,7,128,219,91,+70.8%,90,time
2024-10-30,2025-01-28,HRI,7,210.35,198.74,21,4417,4174,-244,-5.5%,90,time
2024-10-30,2025-01-28,CLS,6,69.78,94.48,64,4466,6047,1581,+35.4%,90,time
2024-10-30,2025-01-28,VICR,6,46.19,48.97,98,4527,4799,272,+6.0%,90,time
2024-10-30,2025-01-28,TPR,5,48.40,73.79,93,4501,6862,2361,+52.5%,90,time
2024-10-30,2025-01-28,GRAB,5,4.12,4.56,1100,4532,5016,484,+10.7%,90,time
2024-10-30,2025-01-28,MLI,5,83.00,80.05,54,4482,4323,-159,-3.6%,90,time
2024-11-06,2025-02-04,RBLX,7,52.90,73.79,96,5078,7084,2005,+39.5%,90,time
2024-11-06,2025-02-04,GRMN,7,209.67,218.22,24,5032,5237,205,+4.1%,90,time
2024-11-06,2025-02-04,TWLO,7,90.30,145.92,15,1354,2189,834,+61.6%,90,time
2024-11-06,2025-02-04,EXEL,7,35.51,33.12,4,142,132,-10,-6.7%,90,time
2024-12-11,2025-03-11,MRVL,7,111.36,67.16,41,4566,2754,-1812,-39.7%,90,time
2024-12-11,2025-03-11,RBRK,7,70.42,53.82,4,282,215,-66,-23.6%,90,time
2024-12-18,2025-03-18,AVGO,7,223.62,188.67,23,5143,4339,-804,-15.6%,90,time
2024-12-18,2025-03-18,ALK,7,62.44,52.34,83,5183,4344,-838,-16.2%,90,time
2024-12-18,2025-03-18,CRK,6,15.36,19.35,338,5192,6540,1349,+26.0%,90,time
2024-12-18,2025-03-18,ORLA,6,5.44,9.12,955,5195,8710,3514,+67.6%,90,time
2024-12-18,2025-03-18,KR,5,60.89,65.99,85,5176,5609,434,+8.4%,90,time
2024-12-18,2025-03-18,AS,5,27.69,28.30,187,5178,5292,114,+2.2%,90,time
2024-12-18,2025-03-18,YPF,5,41.69,33.79,124,5170,4190,-980,-18.9%,90,time
2024-12-18,2025-03-18,OLLI,5,114.49,99.06,45,5152,4458,-694,-13.5%,90,time
2024-12-18,2025-03-18,WAY,5,34.70,36.92,10,347,369,22,+6.4%,90,time
2024-12-25,2025-03-25,TEVA,7,22.42,15.70,237,5314,3721,-1593,-30.0%,90,time
2024-12-25,2025-03-25,IONQ,7,44.58,25.55,12,535,307,-228,-42.7%,90,time
2025-01-01,2025-04-01,ACHR,6,9.75,6.96,391,3812,2721,-1091,-28.6%,90,time
2025-01-01,2025-04-01,JBTM,5,127.10,124.08,1,127,124,-3,-2.4%,90,time
2025-01-08,2025-04-08,UNMA,6,23.77,24.50,225,5348,5512,164,+3.1%,90,time
2025-01-08,2025-04-08,RIVN,5,14.21,10.80,285,4050,3078,-972,-24.0%,90,time
2025-01-08,2025-04-08,MNSO,5,24.87,14.31,8,199,114,-84,-42.5%,90,time
2025-01-15,2025-04-15,CEG,6,300.77,208.42,18,5414,3752,-1662,-30.7%,90,time
2025-01-15,2025-04-15,UAL,5,104.96,67.00,22,2309,1474,-835,-36.2%,90,time
2025-01-15,2025-04-15,SNX,5,136.26,103.17,1,136,103,-33,-24.3%,90,time
2025-01-22,2025-04-22,ICL,7,6.06,6.49,939,5690,6094,404,+7.1%,90,time
2025-01-22,2025-04-22,HOOD,6,50.16,42.09,113,5668,4756,-912,-16.1%,90,time
2025-01-22,2025-04-22,KTOS,6,34.95,32.12,126,4404,4047,-357,-8.1%,90,time
2025-01-22,2025-04-22,LTH,6,28.45,29.85,8,228,239,11,+4.9%,90,time
2025-01-29,2025-04-29,TEM,7,50.77,54.29,107,5432,5809,377,+6.9%,90,time
2025-01-29,2025-04-29,NFLX,6,97.82,112.56,55,5380,6191,811,+15.1%,90,time
2025-01-29,2025-04-29,RKLB,6,28.87,22.40,189,5456,4234,-1223,-22.4%,90,time
2025-01-29,2025-04-29,BE,6,22.38,18.91,244,5461,4614,-847,-15.5%,90,time
2025-01-29,2025-04-29,GH,6,47.65,49.53,114,5432,5646,214,+3.9%,90,time
2025-01-29,2025-04-29,OKLO,6,35.30,24.44,109,3848,2664,-1184,-30.8%,90,time
2025-01-29,2025-04-29,MIDD,6,170.08,132.78,1,170,133,-37,-21.9%,90,time
2025-02-05,2025-05-06,CIB,7,39.14,41.19,145,5675,5973,297,+5.2%,90,time
2025-02-05,2025-05-06,OSK,7,110.68,88.26,51,5645,4501,-1143,-20.3%,90,time
2025-02-05,2025-05-06,TEAM,6,320.80,207.89,10,3208,2079,-1129,-35.2%,90,time
2025-02-05,2025-05-06,NXT,6,46.89,42.89,3,141,129,-12,-8.5%,90,time
2025-03-12,2025-06-10,ING,7,19.96,21.09,143,2854,3016,162,+5.7%,90,time
2025-03-12,2025-06-10,DB,7,23.39,27.91,6,140,167,27,+19.3%,90,time
2025-03-19,2025-06-17,TIGO,6,31.22,36.89,161,5026,5939,913,+18.2%,90,time
2025-03-19,2025-06-17,MUFG,5,14.30,13.38,352,5034,4710,-324,-6.4%,90,time
2025-03-19,2025-06-17,FNV,5,154.25,168.95,32,4936,5406,470,+9.5%,90,time
2025-03-19,2025-06-17,LUV,5,33.60,31.44,150,5040,4716,-324,-6.4%,90,time
2025-03-19,2025-06-17,AG,5,7.25,8.55,695,5039,5942,904,+17.9%,90,time
2025-03-26,2025-06-24,EXEEZ,7,103.33,107.24,47,4857,5040,184,+3.8%,90,time
2025-03-26,2025-06-24,ROKU,6,77.87,83.69,62,4828,5189,361,+7.5%,90,time
2025-03-26,2025-06-24,AU,5,35.56,46.40,137,4872,6357,1485,+30.5%,90,time
2025-03-26,2025-06-24,EXEEL,5,99.21,114.01,49,4861,5586,725,+14.9%,90,time
2025-04-02,2025-07-01,RCB,5,24.79,24.36,173,4289,4214,-74,-1.7%,90,time
2025-04-02,2025-07-01,WRB,5,69.75,72.86,26,1814,1894,81,+4.5%,90,time
2025-04-02,2025-07-01,HMY,5,15.12,13.98,8,121,112,-9,-7.5%,90,time
2025-04-09,2025-07-08,RKT,7,12.75,13.74,364,4641,5001,360,+7.8%,90,time
2025-04-16,2025-07-15,AEM,7,122.54,119.06,38,4657,4524,-132,-2.8%,90,time
