
Analyzing signals_history_1b_2023.json
Total signals in file: 1127
Score filter: 5-7
Holding period: 365 days
Stop loss: -60%
Signals after score filter: 960
Loaded price data for 517/517 tickers

--- STRICT VALIDATION RESULTS ---
Valid trades: 960
Dropped - no entry price: 0
Dropped - insufficient coverage (data gaps): 0
Total dropped: 0 (0.0% of filtered signals)

================================================================================
STRICT ANALYSIS: signals_history_1b_2023.json
================================================================================

Data Quality:
  Total signals:     1127
  After score filter: 960
  Valid trades:      960 (100.0%)
    - Closed:        571 (stop_loss or 12M exit)
    - Open:          389 (still holding, using latest price)
  Dropped (total):   0 (0.0%)
    - No entry price:  0
    - Data gaps:       0 (insufficient coverage in holding period)

Performance - CLOSED trades only (571 trades):
  Avg Return:    +44.6%
  Win Rate:      68.5%

Performance - ALL trades including OPEN (960 trades):
  Avg Return:    +41.7%
  Win Rate:      68.3% (656W / 304L)
  Avg Win:       +70.0%
  Avg Loss:      -19.5%
  Best:          +712.0%
  Worst:         -60.0%

Exit Reasons (closed trades):
  Stop Loss (-25%): 21 (3.7% of closed)
  Time (12M):       550 (96.3% of closed)

All Trades (960):
Entry        Exit         Ticker   Score     Entry$      Exit$     Return   Days Reason    
2023-08-30   2024-08-29   FN           7     158.35     242.87    +53.4%    365 time      
2023-08-30   2024-08-29   VRT          5      38.89      79.92   +105.5%    365 time      
2023-08-30   2024-08-29   MTSI         5      82.97     109.33    +31.8%    365 time      
2023-08-30   2024-08-29   NXE          5       5.28       5.93    +12.3%    365 time      
2023-08-30   2024-08-29   MNSO         5      24.81      16.32    -34.2%    365 time      
2023-09-06   2024-09-05   DELL         7      70.47     107.16    +52.1%    365 time      
2023-09-06   2024-09-05   JBL          7     111.68     102.59     -8.1%    365 time      
2023-09-06   2024-09-05   FUTU         7      64.19      60.45     -5.8%    365 time      
2023-09-06   2024-09-05   NTNX         7      35.15      62.83    +78.7%    365 time      
2023-09-06   2024-09-05   WDC          6      34.34      47.31    +37.8%    365 time      
2023-09-06   2024-09-05   IOT          6      31.58      38.75    +22.7%    365 time      
2023-09-06   2024-09-05   ONTO         6     133.91     187.66    +40.1%    365 time      
2023-09-06   2024-09-05   MNSO         6      27.17      16.04    -41.0%    365 time      
2023-09-06   2024-09-05   MELI         5    1425.97    2038.18    +42.9%    365 time      
2023-09-13   2024-09-12   BX           5     112.75     146.50    +29.9%    365 time      
2023-09-20   2024-09-19   CASY         7     281.36     365.23    +29.8%    365 time      
2023-09-20   2024-09-19   BBDO         6       2.67       2.46     -7.9%    365 time      
2023-09-20   2024-09-19   NMR          6       4.37       5.52    +26.3%    365 time      
2023-09-20   2024-09-19   NXE          6       6.09       5.98     -1.8%    365 time      
2023-09-20   2024-09-19   CRS          5      68.46     155.00   +126.4%    365 time      
2023-09-20   2024-09-19   HCC          5      45.52      55.17    +21.2%    365 time      
2023-09-20   2024-09-19   CCC          5      11.78      11.02     -6.5%    365 time      
2023-10-04   2024-10-03   JBL          7     130.23     119.90     -7.9%    365 time      
2023-10-04   2024-10-03   SUN          6      47.03      53.08    +12.9%    365 time      
2023-10-04   2024-10-03   WSM          5      75.83     152.14   +100.6%    365 time      
2023-10-04   2024-10-03   HCC          5      49.29      62.00    +25.8%    365 time      
2023-10-04   2024-10-03   VIST         5      28.73      48.85    +70.0%    365 time      
2023-10-04   2024-10-03   CCC          5      12.75      10.63    -16.6%    365 time      
2023-10-18   2024-10-17   NVO          6     100.57     118.22    +17.5%    365 time      
2023-10-18   2024-10-17   GD           6     239.81     308.23    +28.5%    365 time      
2023-10-18   2024-10-17   RVMD         6      30.50      50.00    +63.9%    365 time      
2023-10-18   2024-10-17   RCB          5      23.42      24.38     +4.1%    365 time      
2023-10-18   2024-10-17   FAST         5      29.40      38.82    +32.0%    365 time      
2023-10-18   2024-10-17   FANG         5     169.92     183.96     +8.3%    365 time      
2023-10-18   2024-10-17   DRS          5      19.51      28.85    +47.9%    365 time      
2023-10-18   2024-10-17   FRO          5      20.96      22.02     +5.1%    365 time      
2023-11-01   2024-10-31   IBRX         7       3.25       5.21    +60.3%    365 time      
2023-11-01   2024-10-31   DECK         6      99.00     160.89    +62.5%    365 time      
2023-11-01   2024-10-31   FCN          6     217.80     195.08    -10.4%    365 time      
2023-11-01   2024-10-31   LOGI         5      79.03      81.70     +3.4%    365 time      
2023-11-08   2024-11-07   TT           7     221.84     395.92    +78.5%    365 time      
2023-11-08   2024-11-07   GRMN         7     116.08     210.34    +81.2%    365 time      
2023-11-08   2024-11-07   IT           7     401.14     540.75    +34.8%    365 time      
2023-11-08   2024-11-07   GDDY         7      87.23     177.31   +103.3%    365 time      
2023-11-08   2024-11-07   ESAB         7      75.07     132.38    +76.3%    365 time      
2023-11-08   2024-11-07   ANET         6      52.40     107.76   +105.6%    365 time      
2023-11-08   2024-11-07   LDOS         6     103.01     192.63    +87.0%    365 time      
2023-11-08   2024-11-07   CYBR         6     183.37     296.20    +61.5%    365 time      
2023-11-15   2024-11-14   DUOL         7     205.06     322.57    +57.3%    365 time      
2023-11-15   2024-11-14   UBER         5      53.76      71.44    +32.9%    365 time      
2023-11-15   2024-11-14   TDG          5     994.16    1271.71    +27.9%    365 time      
2023-11-15   2024-11-14   MSTR         5      50.60     327.67   +547.6%    365 time      
2023-11-15   2024-11-14   DDOG         5     109.44     131.43    +20.1%    365 time      
2023-11-15   2024-11-14   KD           5      17.89      28.26    +58.0%    365 time      
2023-11-22   2024-11-21   GAP          7      18.80      22.04    +17.2%    365 time      
2023-11-22   2024-11-21   FER          6      32.86      38.55    +17.3%    365 time      
2023-11-22   2024-11-21   WSM          6      90.74     172.49    +90.1%    365 time      
2023-11-22   2024-11-21   HMY          6       5.73       9.57    +67.0%    365 time      
2023-11-22   2024-11-21   JHX          6      31.79      34.93     +9.9%    365 time      
2023-11-22   2024-11-21   RYTM         6      33.53      59.03    +76.1%    365 time      
2023-11-22   2024-11-21   INTC         5      43.67      24.44    -44.0%    365 time      
2023-11-22   2024-11-21   CLS          5      26.61      91.44   +243.6%    365 time      
2023-11-22   2024-11-21   EXPE         5     136.89     183.51    +34.1%    365 time      
2023-11-22   2024-11-21   UEC          5       6.36       8.40    +32.1%    365 time      
2023-11-29   2024-11-29   COIN         6     127.82     296.20   +131.7%    366 time      
2023-11-29   2024-11-29   EDU          5      78.35      58.32    -25.6%    366 time      
2023-11-29   2024-11-29   GGAL         5      17.32      56.44   +225.9%    366 time      
2023-11-29   2024-11-29   BMA          5      28.72      84.90   +195.6%    366 time      
